;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes;;
21;f;1.0;-2.298.178.307.520.960;-4.320.076.497.509.290;Apartment;Entire home/apt;4;3.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Breakfast,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",""Luggage dropoff allowed"",""Step-free access"",""Wide clearance to bed""}";400.0;1;0.0;1;30;12;f;f;strict;2018;4;;
22;f;6.0;-22.986.233.139.187.800;-4.320.352.791.940.840;Apartment;Entire home/apt;6;3.0;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox}";1728.0;3;126.0;2;89;45;t;f;strict;2018;4;;
23;t;3.0;-22.982.817.069.184.200;-4.319.571.177.528.830;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";151.0;2;46.0;3;89;116;t;f;strict;2018;4;;
24;f;1.0;-22.984.982.857.327.900;-4.319.135.454.377.810;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance""}";99.0;1;34.0;1;365;79;f;f;strict;2018;4;;
25;f;10.0;-22.945.083.234.481.600;-4.318.162.271.107.670;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Essentials,Hangers,Iron,""Laptop friendly workspace""}";164.0;2;106.0;3;365;70;t;f;strict;2018;4;;
26;t;6.0;-2.298.630.130.756.570;-4.319.707.824.115.810;Serviced apartment;Entire home/apt;5;1.0;1.0;4.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}";308.0;2;21.0;1;420;236;t;f;strict;2018;4;;
27;f;1.0;-2.298.448.796.128.200;-4.323.067.691.137.370;Apartment;Private room;2;1.0;1.0;2.0;Pull-out Sofa;"{Wifi,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";410.0;1;0.0;2;8;13;f;f;strict;2018;4;;
28;f;1.0;-2.298.490.375.114.110;-4.319.538.874.348.200;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,Heating,""Smoke detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you"",""Paid parking on premises""}";256.0;2;683.0;2;120;12;f;f;strict;2018;4;;
29;f;2.0;-22.985.087.803.450.000;-4.330.055.768.107.100;House;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Washer,Essentials,""Hair dryer"",Iron}";201.0;2;0.0;2;120;2;f;f;strict;2018;4;;
30;f;1.0;-2.298.026.529.884.030;-4.319.254.657.523.170;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}";106.0;2;68.0;3;365;129;f;f;strict;2018;4;;
31;f;9.0;-22.981.519.259.702.500;-4.319.018.479.326.130;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Long term stays allowed""}";109.0;2;188.0;4;1125;5;t;f;strict;2018;4;;
32;f;1.0;-22.982.383.750.259.600;-4.319.366.318.041.830;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";305.0;4;342.0;5;180;83;t;f;strict;2018;4;;
33;f;1.0;-2.298.118.716.565.720;-4.319.372.670.447.490;Apartment;Entire home/apt;12;4.0;4.0;8.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace""}";379.0;6;76.0;2;365;101;t;f;strict;2018;4;;
34;t;6.0;-22.928.748.692.491.000;-4.319.341.175.995.500;Bed and breakfast;Private room;16;5.0;7.0;10.0;Real Bed;"{Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Wide entryway""}";168.0;2;42.0;1;30;161;f;f;moderate;2018;4;;
35;f;1.0;-22.976.775.053.963.900;-43.192.082.152.445.300;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;"{TV,Internet,Wifi,Kitchen,Elevator,""Family/kid friendly"",Washer}";201.0;1;200.0;2;6;5;f;f;moderate;2018;4;;
36;f;2.0;-2.291.788.629.684.080;-4.318.059.101.849.660;Villa;Private room;2;1.0;1.0;1.0;Real Bed;"{Wifi,""Air conditioning"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}";400.0;1;0.0;2;10;0;f;f;strict;2018;4;;
37;f;3.0;-2.291.431.201.768.760;-4.318.884.415.499.850;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}";79.0;2;50.0;7;365;76;f;f;strict;2018;4;;
